marca,ano,modelo,potencia,torque,peso,nacionalidade,fipe
Citroen,2020,C4 Cactus,173,24.5,1214,França,84640
Honda,2020,HRV,173,22.4,1380,Japão,129249
Chevrolet,2022,Tracker,133,21.4,1271,EUA,122022
Volkswagen,2023,T-Cross,150,25.5,1292,Alemanha,140073
Volkswagen,2021,Nivus,128,20.4,1199,Alemanha,109959
Chery,2022,Tiggo 5X,150,21.4,1424,China,95676
Hyundai,2021,Creta,166,20.5,1399,Coreia,104929
Jeep,2023,Renegade,185,27.5,1468,EUA,109021
Nissan,2021,Kicks,114,15.5,1142,Japão,97661
Renault,2023,Duster,170,27.5,1353,França,143725
Toyota,2024,Corolla,175,21.3,1410,Japão,160920
Chevrolet,2024,Onix Sedan,116,16.8,1073,EUA,92972
Volkswagen,2020,Jetta,150,25.5,1331,Alemanha,115874
Volkswagen,2020,Up,105,16.8,951,Alemanha,64708
Hyundai,2023,HB20,120,17.5,1063,Coreia,74136
Toyota,2018,Hilux,163,25,1805,Japão,151827
Toyota,2022,Yaris,110,14.9,1135,Japão,87168
Ford,2021,Ecosport,137,16.2,1255,EUA,77120
Renault,2013,Symbol,115,16,1045,França,26749
Renault,2013,Clio,80,10.5,912,França,26348
Fiat,2018,Argo,77,10.9,1105,Itália,50686
Peugeot,2023,208,120,15.7,1227,França,77411
Peugeot,2015,208,93,14.2,1076,França,38280
Fiat,2016,Idea,81,12.4,1197,Itália,42391
Volkswagen,2012,Gol,76,10.6,934,Alemanha,26996
Jeep,2016,Renegade,132,19.1,1432,EUA,66998
Fiat,2017,Punto,88,12.5,1141,Itália,45209
Fiat,2024,Pulse,107,10.3,1187,Itália,94438
Honda,2015,Fit,116,15.3,1099,Japão,59339
Renault,2016,Sandero,80,10.5,1013,França,38164
Ford,2021,KA,85,10.7,1042,EUA,53217
